time,MAC,packet
2024-05-07 02:47:11.919315,00:0c:29:ab:0f:fa,Ether / fe80::c517:46a5:862a:f730 > ff02::c (0) / IPv6ExtHdrHopByHop / ICMPv6MLReport
2024-05-07 02:47:11.919315,00:0c:29:ab:0f:fa,Ether / fe80::c517:46a5:862a:f730 > ff02::1:ff30:a7be (0) / IPv6ExtHdrHopByHop / ICMPv6MLReport
2024-05-07 02:47:11.919608,00:0c:29:49:04:db,Ether / fe80::f396:bb03:162c:7a59 > ff02::1:ff32:5fb5 (0) / IPv6ExtHdrHopByHop / ICMPv6MLReport
2024-05-07 02:47:11.919942,00:0c:29:e8:8d:81,Ether / fe80::20c:29ff:fee8:8d81 > ff02::1:ff00:b (0) / IPv6ExtHdrHopByHop / ICMPv6MLReport
2024-05-07 02:47:11.919942,00:0c:29:2a:8e:72,Ether / fe80::e734:2b41:5223:b9c9 > ff02::c (0) / IPv6ExtHdrHopByHop / ICMPv6MLReport
2024-05-07 02:47:11.919942,00:0c:29:8d:e4:6d,Ether / fe80::3179:3a32:e87c:605c > ff02::1:ff7c:605c (0) / IPv6ExtHdrHopByHop / ICMPv6MLReport
2024-05-07 02:47:11.920024,00:0c:29:ab:0f:fa,Ether / fe80::c517:46a5:862a:f730 > ff02::1:ff2a:f730 (0) / IPv6ExtHdrHopByHop / ICMPv6MLReport
2024-05-07 02:47:11.920070,00:0c:29:49:04:db,Ether / fe80::f396:bb03:162c:7a59 > ff02::1:ff38:1339 (0) / IPv6ExtHdrHopByHop / ICMPv6MLReport
2024-05-07 02:47:11.920117,00:0c:29:ab:0f:fa,Ether / fe80::c517:46a5:862a:f730 > ff02::1:ff00:a5 (0) / IPv6ExtHdrHopByHop / ICMPv6MLReport
2024-05-07 02:47:11.920151,00:0c:29:2a:8e:72,Ether / fe80::e734:2b41:5223:b9c9 > ff02::fb (0) / IPv6ExtHdrHopByHop / ICMPv6MLReport
2024-05-07 02:47:11.920224,00:0c:29:e8:8d:81,Ether / fe80::20c:29ff:fee8:8d81 > ff02::fb (0) / IPv6ExtHdrHopByHop / ICMPv6MLReport
2024-05-07 02:47:11.920241,00:0c:29:2a:8e:72,Ether / fe80::e734:2b41:5223:b9c9 > ff02::1:3 (0) / IPv6ExtHdrHopByHop / ICMPv6MLReport
2024-05-07 02:47:11.920321,00:0c:29:ab:0f:fa,Ether / fe80::c517:46a5:862a:f730 > ff02::fb (0) / IPv6ExtHdrHopByHop / ICMPv6MLReport
2024-05-07 02:47:11.920363,00:0c:29:8d:e4:6d,Ether / fe80::3179:3a32:e87c:605c > ff02::1:ffc3:9c8d (0) / IPv6ExtHdrHopByHop / ICMPv6MLReport
2024-05-07 02:47:11.920363,00:0c:29:2a:8e:72,Ether / fe80::e734:2b41:5223:b9c9 > ff02::1:ff00:3 (0) / IPv6ExtHdrHopByHop / ICMPv6MLReport
2024-05-07 02:47:11.920363,00:0c:29:4e:8c:88,Ether / fe80::a0e0:c25a:14a4:642e > ff02::1:ffa4:642e (0) / IPv6ExtHdrHopByHop / ICMPv6MLReport
2024-05-07 02:47:11.923204,00:0c:29:4e:8c:88,Ether / fe80::a0e0:c25a:14a4:642e > ff02::1:ff00:ac (0) / IPv6ExtHdrHopByHop / ICMPv6MLReport
2024-05-07 02:47:11.932314,00:0c:29:ab:0f:fa,Ether / fe80::c517:46a5:862a:f730 > ff02::1:3 (0) / IPv6ExtHdrHopByHop / ICMPv6MLReport
2024-05-07 02:47:11.932447,00:0c:29:49:04:db,Ether / fe80::f396:bb03:162c:7a59 > ff02::1:ff56:bffb (0) / IPv6ExtHdrHopByHop / ICMPv6MLReport
2024-05-07 02:47:11.932561,00:0c:29:2a:8e:72,Ether / fe80::e734:2b41:5223:b9c9 > ff02::1:ff0a:2a8 (0) / IPv6ExtHdrHopByHop / ICMPv6MLReport
2024-05-07 02:47:11.932698,00:0c:29:4e:8c:88,Ether / fe80::a0e0:c25a:14a4:642e > ff02::fb (0) / IPv6ExtHdrHopByHop / ICMPv6MLReport
2024-05-07 02:47:11.932819,00:0c:29:ab:0f:fa,Ether / fe80::c517:46a5:862a:f730 > ff02::c (0) / IPv6ExtHdrHopByHop / ICMPv6MLReport
2024-05-07 02:47:11.932819,00:0c:29:2a:8e:72,Ether / fe80::e734:2b41:5223:b9c9 > ff02::1:ff23:b9c9 (0) / IPv6ExtHdrHopByHop / ICMPv6MLReport
